ANI,34,9544,36,1
ndtv,47,3539,18,1
drharshvardhan,4,3065,739,1
htTweets,51,2996,14,1
DainikBhaskar,14,2819,174,1
IndianExpress,12,2490,209,1
MoHFW_INDIA,7,2380,388,1
DDNational,6,2320,458,1
DavidLat,11,2258,229,1
DDNewslive,6,2241,449,1
ABSCBNNews,97,1261,2,1
DolarToday,6,1090,435,1
WesternRly,4,1070,720,1
dinamalarweb,5,1069,518,1
TV9Telugu,36,1038,32,1
polimernews,24,933,72,1
news7tamil,20,887,103,1
Thairath_News,17,882,134,1
indiatvnews,69,870,4,1
aaj_urdu,6,835,494,1
EconomicTimes,20,820,102,1
XHNews,14,777,167,1
Excelsior,25,721,66,1
ThanthiTV,27,716,60,1
ANCALERTS,168,708,1,1
501Awani,6,708,468,1
globaltimesnews,47,659,19,1
sriramulubjp,7,590,401,1
PemaKhanduBJP,4,576,749,1
Milenio,25,573,63,1
UniNoticias,4,533,647,1
ETNOWlive,12,497,205,1
eldiarioes,9,475,312,1
CRI_Turkish,9,466,291,1
ZDFheute,4,462,724,1
News18Guj,7,460,398,1
sunnewstamil,31,457,46,1
JPenerangan,16,453,147,1
dailystarnews,18,422,131,1
voz_populi,14,407,176,1
RachakondaCop,10,397,263,1
CNBCTV18Live,11,392,238,1
ndtvvideos,9,391,305,1
aajtak,59,366,12,1
gulf_news,17,356,133,1
RTLFrance,14,342,172,1
LaVanguardia,7,341,425,1
vikatan,13,332,182,1
ThaiPBS,63,327,7,1
bsindia,63,316,8,1
DrEricDing,18,305,119,1
bernamadotcom,21,303,86,1
suvarnanewstv,28,297,53,1
CGTNOfficial,31,290,44,1
QuickTake,20,289,94,1
EJanNews,18,283,128,1
teleSURtv,14,275,165,1
BangaloreMirror,7,273,395,1
thestandardth,22,271,81,1
TheQuint,56,268,13,1
BloombergQuint,25,268,69,1
UN_News_Centre,4,266,636,1
mataonline,11,265,245,1
Live_Hindustan,7,265,392,1
publictvnews,15,253,155,1
AkashvaniAIR,4,250,754,1
Expresoec,7,243,361,1
News5AKSYON,30,241,48,1
GhettoRadio895,4,236,735,1
khaleejtimes,13,233,179,1
ChinaDaily,31,225,43,1
Europe1,11,216,241,1
TNAMCOT,18,212,121,1
tcsnoticias,14,212,166,1
tv9kannada,14,206,168,1
alain_4u,4,178,786,1
pinkvilla,13,167,188,1
PressTV,9,167,300,1
Echinanews,19,155,105,1
prabhatkhabar,10,145,270,1
UNGeneva,4,144,692,1
NewIndianXpress,25,140,67,1
SCMPNews,8,135,320,1
antaranews,29,130,49,1
IPRD_Bihar,21,116,88,1
js100radio,6,115,472,1
elespanolcom,14,114,162,1
kapookdotcom,20,110,101,1
RTenfrancais,12,109,218,1
TW_nextmedia,15,107,150,1
Ch3ThailandNews,10,106,268,1
CBNNews,3,103,879,1
FinancialXpress,20,102,95,1
TF1LeJT,7,102,413,1
aletihadae,15,101,159,1
NationTV22,25,98,70,1
SKMM_MCMC,4,98,691,1
laprovence,15,97,154,1
ahmedabadmirror,3,95,992,1
AthiGeleba,4,92,792,1
tvp_info,7,89,389,1
idntimes,72,86,3,1
AlArabiya_Eng,27,86,57,1
mid_day,15,83,156,1
iambhutia,14,79,163,1
manoramanews,14,77,169,1
MVSNoticias,12,77,200,1
newsktv,5,77,549,1
gulftoday,10,76,269,1
Reporte_Indigo,23,75,75,1
ThaiPBSNews,50,67,15,1
PBNS_India,18,67,127,1
sharjah24,7,67,408,1
9NewsSyd,15,65,151,1
ktnewsonline,22,64,80,1
JagbaniOnline,19,64,113,1
News18Kannada,5,64,561,1
OneindiaKannada,12,62,208,1
Sanook,27,59,58,1
Spotboye,13,59,187,1
QuintFit,8,59,346,1
DeccanChronicle,5,56,592,1
BiIndia,21,55,91,1
SBS8news,15,52,153,1
ChinaPlusNews,4,51,763,1
navjivanindia,12,50,204,1
rzeczpospolita,40,49,25,1
THChennai,4,48,740,1
NigeriaInfoPH,4,48,776,1
NEWS9TWEETS,26,47,61,1
punjabkesari,40,45,26,1
orfonline,10,45,264,1
asianet_tamil,19,42,111,1
Ruptly,7,41,374,1
MirrorNow,15,39,158,1
mathrubhuminews,22,38,82,1
ddsportschannel,8,38,341,1
sri50,5,37,580,1
arabnewspk,5,35,564,1
ghaith_alain,4,33,710,1
abc7newsbayarea,6,32,436,1
PeninsulaQatar,6,31,490,1
news18dotcom,4,31,716,1
jayapluschannel,23,30,78,1
ucankuscom,4,30,750,1
LaCroix,7,27,421,1
Radio1Rai,4,27,772,1
ElPitazoTV,60,26,10,1
circleofcricket,5,26,597,1
e_consulta,3,26,854,1
firstpost,37,25,30,1
Oneindia,32,25,41,1
allafrica,12,25,199,1
AFNCThailand,3,25,984,1
AydinlikGazete,18,24,129,1
fernandoeidok,3,23,892,1
rs_sputnik,18,22,132,1
airnews_ghy,13,22,190,1
Farodevigo,7,22,411,1
TheKoreaHerald,18,21,118,1
Mulhak,4,21,705,1
CHCHNews,5,20,568,1
NewsweekEspanol,11,19,230,1
cronicaglobal,11,19,243,1
kyodo_english,6,18,454,1
LexisNexis,3,18,885,1
nationnews,13,17,191,1
TheStatesmanLtd,12,17,223,1
DeccanHerald,21,15,89,1
vanguardiamx,14,15,160,1
PIBChandigarh,4,15,743,1
Colcheck,3,15,909,1
GCC_1111,12,14,212,1
LIGAnet,6,14,485,1
stpiindia,4,14,714,1
elprogreso_Lugo,5,13,536,1
TUDNMEX,19,12,106,1
lecho,8,12,347,1
alittihadSport,7,12,417,1
JulioCesar_Cano,4,12,689,1
9NewsQueensland,4,12,704,1
Onmanorama,3,12,986,1
thatsMalayalam,20,11,104,1
torreon,12,11,196,1
F3PaysdelaLoire,6,11,506,1
RichLightShed,3,11,833,1
BaaghiTV,28,10,55,1
KVUE,10,10,248,1
Openthemag,4,10,727,1
kjzzphoenix,3,10,937,1
NewsMobileIndia,46,9,21,1
pibchennai,9,9,307,1
canalcatorcemx,5,9,543,1
otempo,4,9,644,1
gchahal,3,9,904,1
MrElDiablo8,7,8,387,1
rtvandorra,6,8,488,1
YorukIsik,3,8,870,1
EstiloDF,3,8,954,1
10NewsFirstAdl,8,7,348,1
Mono29News,7,7,362,1
BI_Italia,6,7,503,1
momblogger,4,7,737,1
rodalies,4,7,768,1
alykhansatchu,23,6,77,1
redbey,16,6,149,1
ajplus,6,6,440,1
AHMalcolm,5,6,604,1
macleans,4,6,640,1
N1info,4,6,788,1
michaelcburgess,3,6,901,1
SiteTaiwanInfo,3,6,996,1
amna_news,28,5,54,1
Jerusalem_Post,19,5,110,1
EastMojo,12,5,219,1
editorji,11,5,240,1
ABCDigital,5,5,526,1
e4mtweets,5,5,586,1
vikalpavoices,3,5,968,1
tvnnoticias,46,4,20,1
azucenau,39,4,28,1
elcomerciocom,11,4,233,1
Metropoles,5,4,515,1
LideresMexicano,4,4,693,1
dw_hindi,3,4,970,1
SamayamTamil,22,3,84,1
TOLOnews,9,3,306,1
businessline,8,3,343,1
LINETODAYTH,6,3,463,1
down2earthindia,6,3,478,1
BoBoiBoy,6,3,482,1
cyclismactu,5,3,620,1
ACSouthAsia,4,3,701,1
ETEnergyWorld,4,3,755,1
theTiser,3,3,818,1
880Edmonton,3,3,924,1
IndiaSpend,21,2,85,1
shanghaidaily,16,2,143,1
HablaDeportes,8,2,323,1
sushbhattarai,8,2,335,1
Ch7HDNews,8,2,340,1
AnimalMX,7,2,356,1
ANN_Newsable,7,2,400,1
ETPanache,6,2,477,1
TomatazosCom,5,2,537,1
9NewsAdel,5,2,584,1
Antena3Deportes,5,2,628,1
Jaime_BonillaV,4,2,661,1
NewsroomPostCom,4,2,734,1
berlinerzeitung,4,2,742,1
unwomenasia,4,2,780,1
czaplinskiii,4,2,798,1
LuciaCNavarro,3,2,837,1
christisch1,3,2,894,1
pedroferriz3,3,2,908,1
MitradeOfficial,3,2,997,1
veronicalderon,17,1,135,1
889Noticias,16,1,140,1
ExpPolitica,15,1,152,1
NewsNationTV,14,1,173,1
ImagenTVMex,11,1,235,1
RT_com,10,1,260,1
MacJordaN,10,1,272,1
10NewsFirstSyd,10,1,274,1
fox5sandiego,9,1,275,1
OpinionLSR,9,1,293,1
ExaFM,9,1,299,1
jnascim,9,1,301,1
AsiavilleNews,8,1,336,1
LaRazon_Bolivia,7,1,357,1
